code,title,units,prerequisites,corequisites,grading,ge_area,availability,details,url
ACCT 210,Introduction to Financial Accounting(opens in a new tab),3,,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify the forms of business organizations and explain the three principal types of business activities; Name the four primary financial statements and illustrate their main components; List major assumptions and principles in financial reporting; Explain the accounting information system and demonstrate how it is used to record and report common business transactions; Prepare a classified balance sheet, calculate and compare liquidity and solvency ratios using financial reports of public companies; Prepare an income statement, calculate and compare profitability and efficiency ratios using financial reports of public companies; Illustrate how to record and report cash, receivables, long-lived assets, liabilities, and stockholders’ equity items and identify related potential unethical accounting practices; Describe basic differences between the U.S. generally accepted accounting principles (GAAP) and international financial reporting standards (IFRS). Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 210 - Introduction to Financial Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186903
ACCT 215,Introduction to Managerial Accounting(opens in a new tab),3,ACCT 210. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Describe cost classifications. Describe cost estimation and analysis methods; Apply the cost-volume-profit analysis for business decisions; Explain and apply job-order and activity-based costing methods to different businesses; Describe standard costs and perform variance analysis; Prepare operating budgets for profit planning; Explain and apply different methods for capital budgeting decisions; Describe various methods and calculate measures for performance evaluation; Apply ethical standards in managerial decisions. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .,ACCT 215 - Introduction to Managerial Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=187384
ACCT 220,Legal Environment of Business(opens in a new tab),3,,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: determine the purpose, sources, and importance of the law and its impact on society; explain the interrelationships among the legal, social, and environment systems and impacts of ethics and social responsibility on legal reasoning; describe the functions and operation of the court system to maintain social justice and equity; illustrate the litigation process at the trial court level that may or may not resolve issues related to social justice and equity; illustrate and evaluate impacts of alternatives to resolve controversies and disputes on social justice and equity; review the constitutional grounds for regulating business and impacts on social justice; distinguish between criminal law and civil law and demonstrate how does each affect individual and society; explain three categories of torts-intentional torts, negligence, and strict liability as they relate to social justice; demonstrate the negative impacts of racial redlining on social justice and equity; use the “Issue, Rule, Application, Conclusion” (IRAC) structure of legal analysis to analyze issues of social justice and equity: form an issue statement, select the proper rule, apply the facts to the rule, and conclude GE-4. Lower-division Social and Behavioral Sciences Electives Learning Outcomes Explain how social, political, and economic institutions and/or principles intersect with each other. Describe how people produce, resist, and/or transform social, political, and economic institutions/principles. Investigate contemporary and/or historical events/issues from a social science perspective. Social Justice Overlay Learning Outcomes 1. Use a disciplinary perspective to analyze issues of social justice and equity. 2. Describe the challenges to achieving social justice. 3. Identify ways in which individuals and/or groups can contribute to social justice within local communities, nations, and/or the world. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 220 - Legal Environment of Business (opens in a new tab) Units: 3 ; Breadth Area: GE-4; Social Justice,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186907
ACCT 300,Business Leadership for Accountants(opens in a new tab),3,"ACCT 210 and ACCT 215 with grade “C” or better Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous",,A-F,,"Variable Intermittently Student Learning Outcomes - Upon successful completion of this course students will be able to: Describe how do business leaders use accounting knowledge to establish a vision for a company. Compare leadership styles on their ability to motivate others to achieve the vision through accounting policies and procedures. Explain how companies create effective accounting governance. Illustrate ethical and unethical decisions made by business leaders on financial and tax reporting and their impacts. Identify key elements to communicate, orally and in writing, about career opportunities in accounting. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 300 - Business Leadership for Accountants (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=189826
ACCT 302,Cost Accounting(opens in a new tab),3,ACCT 215. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,"Spring ONLY Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify the costing systems used in service, merchandising and manufacturing industries; Use job-order costing to determine the cost for jobs which require different types and amounts of direct materials, direct labor and indirect costs; Use the process costing system to determine the product costs when a large number of homogeneous products are manufactured; Estimate the cost of defective",ACCT 302 - Cost Accounting (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186711
ACCT 311,Intermediate Financial Accounting I(opens in a new tab),3,"ACCT 210 with grade C or better. Possible Instructional Methods: Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Explain elements of primary financial statements and the statement of comprehensive income. Explain the composition of cash and the recognition and valuation of accounts receivable. Calculate inventory costing and discuss additional valuation issues of inventories. Discuss the valuation of property, plant and equipment in acquisition and disposition. depreciation methods, and impairment issues. Discuss the types and impairment of intangible assets. Explain and apply the five-step model for revenue recognition process. Apply appropriate accounting classification, measurement, and reporting of current liabilities. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 311 - Intermediate Financial Accounting I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186814
ACCT 312,Intermediate Financial Accounting II(opens in a new tab),3,"ACCT 311 with grade C or better. Possible Instructional Methods: On-ground, or Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify and apply appropriate accounting classification, measurement, and reporting of debt investments. Explain the accounting valuation and reporting for bonds and leases. Discuss the accounting and reporting for pensions and post-retirement benefits. Discuss the accounting for income taxes, net operating loss and financial statement presentation. Explain the accounting for stockholders’ equity transactions, including issuance and repurchase of stock and payment of dividends. Discuss dilutive securities and determine earnings per share in simple and complex capital structures. Prepare a statement of cash flows using direct and indirect methods. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 312 - Intermediate Financial Accounting II (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186813
ACCT 320,Business Law for Accountants(opens in a new tab),3,,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Summarize basic contract law and explain advanced contract concepts such as the Statute of Frauds, assignment, delegation, performance and discharge, breach of contract and remedies; Describe the Uniform Commercial Code and domestic sales and lease contracts, title, risk and insurable interest; Explain the basic concepts of warranties and product liability. Explain legal concepts related to negotiable instruments, creditors’ rights and bankruptcy; Name the requirements to form and terminate an agency relationship; Explain basic employment, labor law and employment discrimination concepts; Summarize the advantages and disadvantages of business entities such as the C and S Corporations, sole proprietorships, partnerships, limited partnerships, limited liability partnerships, and limited liability companies; Identify the formation and financing of corporations and the roles of corporate shareholders, directors, and officers; Name the requirements of corporate mergers and acquisitions; Explain the requirements of federal and state securities laws; Name the basic terminology associated with real and personal property. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 320 - Business Law for Accountants (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186455
ACCT 321,Auditing I(opens in a new tab),3,ACCT 312 with grade C or better. Possible Instructional Methods: On-ground or Online-Asynchronous,,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Describe the auditing standards applicable to both Issuers and Nonissuers; Explain the ethical and legal responsibilities of financial statement auditors in the public accounting profession; Describe audit objectives, audit planning and analytic procedures, and risk assessment; Describe the types and persuasiveness of audit evidence; valuate, test and report internal controls for both manual and IT environments; Apply statistical and non-statistical audit sampling methods to gather and evaluate evidence; Develop problem solving and critical thinking skills through audit cases. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 321 - Auditing I (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186454
ACCT 325,Accounting Ethics(opens in a new tab),3,"ACCT 311 Possible Instructional Methods: Hybrid, or Online-Asynchronous, or Online-Synchronous",,A-F,,"Fall & Spring Student Learning Outcomes - Upon successful completion of this course students will be able to: Identify ethical issue(s) arising in business situations; Discuss different approaches to ethical reasoning; Apply ethical reasoning techniques to ethical dilemmas; Communicate an appropriate conclusion to an ethical dilemma; Explain the codes of conduct for accountants by the American Institute of CPA’s (AICPA), the Securities and Exchange Commission (SEC), and Sarbanes-Oxley Act (SOX); Explain the ethical responsibilities an accountant has in conducting an audit and in the professional accounting working environment. Back to Top | Print-Friendly Page (opens a new window) Facebook this Page (opens a new window) Tweet this Page (opens a new window) Add to Folder (opens a new window) All catalogs © 2026 CSU East Bay. Powered by Modern Campus Catalog™ .",ACCT 325 - Accounting Ethics (opens in a new tab) Units: 3,https://catalog.csueastbay.edu/preview_course_nopop.php?catoid=44&coid=186456
